"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0061245","establishment or maintenance of bipolar cell polarity","3/657","50/18800",0.253980867553811,0.783582945960781,0.698094898973297,"FOXJ1/CAMSAP3/CDX2",3
"BP","GO:0070997","neuron death","15/657","353/18800",0.254803714289058,0.783582945960781,0.698094898973297,"TFAP2A/SIX1/CHGA/ERBB3/NQO1/MYBL2/EGLN3/EPHA7/XRCC2/FGF8/FGF20/DKK1/SLC7A11/SIX4/FOXQ1",15
"BP","GO:0001958","endochondral ossification","2/657","28/18800",0.256138941475352,0.783582945960781,0.698094898973297,"DLX5/COL2A1",2
"BP","GO:0006760","folic acid-containing compound metabolic process","2/657","28/18800",0.256138941475352,0.783582945960781,0.698094898973297,"TYMS/GGH",2
"BP","GO:0007064","mitotic sister chromatid cohesion","2/657","28/18800",0.256138941475352,0.783582945960781,0.698094898973297,"CDC20/REC8",2
"BP","GO:0019076","viral release from host cell","2/657","28/18800",0.256138941475352,0.783582945960781,0.698094898973297,"CHMP4C/TRIM31",2
"BP","GO:0022011","myelination in peripheral nervous system","2/657","28/18800",0.256138941475352,0.783582945960781,0.698094898973297,"NCMAP/ITGB4",2
"BP","GO:0032292","peripheral nervous system axon ensheathment","2/657","28/18800",0.256138941475352,0.783582945960781,0.698094898973297,"NCMAP/ITGB4",2
"BP","GO:0032703","negative regulation of interleukin-2 production","2/657","28/18800",0.256138941475352,0.783582945960781,0.698094898973297,"HOMER2/EZR",2
"BP","GO:0035890","exit from host","2/657","28/18800",0.256138941475352,0.783582945960781,0.698094898973297,"CHMP4C/TRIM31",2
"BP","GO:0035891","exit from host cell","2/657","28/18800",0.256138941475352,0.783582945960781,0.698094898973297,"CHMP4C/TRIM31",2
"BP","GO:0036075","replacement ossification","2/657","28/18800",0.256138941475352,0.783582945960781,0.698094898973297,"DLX5/COL2A1",2
"BP","GO:0042059","negative regulation of epidermal growth factor receptor signaling pathway","2/657","28/18800",0.256138941475352,0.783582945960781,0.698094898973297,"CBLC/PTPN3",2
"BP","GO:0042133","neurotransmitter metabolic process","2/657","28/18800",0.256138941475352,0.783582945960781,0.698094898973297,"GAD1/SLC44A4",2
"BP","GO:0042402","cellular biogenic amine catabolic process","2/657","28/18800",0.256138941475352,0.783582945960781,0.698094898973297,"SAT1/IDO1",2
"BP","GO:0043949","regulation of cAMP-mediated signaling","2/657","28/18800",0.256138941475352,0.783582945960781,0.698094898973297,"PDE4D/ADCYAP1R1",2
"BP","GO:0044331","cell-cell adhesion mediated by cadherin","2/657","28/18800",0.256138941475352,0.783582945960781,0.698094898973297,"EPCAM/FOXA1",2
"BP","GO:1901798","positive regulation of signal transduction by p53 class mediator","2/657","28/18800",0.256138941475352,0.783582945960781,0.698094898973297,"MSX1/PMAIP1",2
"BP","GO:0032388","positive regulation of intracellular transport","9/657","198/18800",0.257187472467712,0.786215903781865,0.700440603960351,"ZIC1/CDH1/STX18/CDK1/ABCA12/PDZK1/SFN/EZR/SPAG5",9
"BP","GO:0006721","terpenoid metabolic process","5/657","98/18800",0.25818342929146,0.787534731475772,0.701615548987533,"CRABP1/CYP3A5/CRABP2/AKR1C3/LRP2",5
"BP","GO:0050773","regulation of dendrite development","5/657","98/18800",0.25818342929146,0.787534731475772,0.701615548987533,"BMP7/COBL/CDC20/BCL11A/EZH2",5
"BP","GO:0061337","cardiac conduction","5/657","98/18800",0.25818342929146,0.787534731475772,0.701615548987533,"CXADR/DSP/ATP2B2/DSC2/PDE4D",5
"BP","GO:0022411","cellular component disassembly","19/657","460/18800",0.258980428098783,0.789390452726444,0.703268813068494,"ADD3/CHMP4C/WDR72/KLK7/MMP7/HMGA1/CAMSAP3/SPTBN2/CDK1/SPEF1/TOP2A/SPATA18/TPX2/ATG9B/KIF9/HPN/DKK1/MMP15/PLK1",19
"BP","GO:0001952","regulation of cell-matrix adhesion","6/657","123/18800",0.260561625391591,0.793213534332907,0.706674800630612,"ONECUT1/CEACAM6/CAMSAP3/GPM6B/SEMA3E/CCL28",6
"BP","GO:0046467","membrane lipid biosynthetic process","7/657","148/18800",0.260613765760513,0.793213534332907,0.706674800630612,"ALDH3B2/UGT8/CERKL/SGPP2/FUT6/CWH43/SPTSSB",7
"BP","GO:0007140","male meiotic nuclear division","3/657","51/18800",0.263471346505321,0.797849193288545,0.710804714237069,"REC8/TRIP13/CCNA1",3
"BP","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","3/657","51/18800",0.263471346505321,0.797849193288545,0.710804714237069,"CEACAM5/CXADR/CEACAM6",3
"BP","GO:0015872","dopamine transport","3/657","51/18800",0.263471346505321,0.797849193288545,0.710804714237069,"SLC6A2/MAPK15/FGF20",3
"BP","GO:0045332","phospholipid translocation","3/657","51/18800",0.263471346505321,0.797849193288545,0.710804714237069,"KCNN4/ATG9B/ATP10B",3
"BP","GO:0045778","positive regulation of ossification","3/657","51/18800",0.263471346505321,0.797849193288545,0.710804714237069,"TFAP2A/BMP7/GPM6B",3
"BP","GO:0051932","synaptic transmission, GABAergic","3/657","51/18800",0.263471346505321,0.797849193288545,0.710804714237069,"BAIAP3/GABRG3/EZH2",3
"BP","GO:2000179","positive regulation of neural precursor cell proliferation","3/657","51/18800",0.263471346505321,0.797849193288545,0.710804714237069,"LRP2/PAX6/ASPM",3
"BP","GO:0021510","spinal cord development","5/657","99/18800",0.264843197779469,0.801423559441127,0.71398912093076,"ZIC1/HOXB8/TBX20/PAX6/FOXN4",5
"BP","GO:0034284","response to monosaccharide","9/657","200/18800",0.266408139377518,0.805249263247933,0.717397444614017,"UCP2/BAIAP3/ABCA12/GJB6/HNF1B/PLCB1/ANO1/XBP1/MLXIPL",9
"BP","GO:0018210","peptidyl-threonine modification","6/657","124/18800",0.266492289031873,0.805249263247933,0.717397444614017,"BMP7/TTK/CDK1/STOX1/CDC42BPG/PLK1",6
"BP","GO:0050708","regulation of protein secretion","11/657","252/18800",0.267872718866276,0.808757270743247,0.720522732307761,"TRH/CHGA/FAM3D/EXPH5/KCNN4/UCP2/BAIAP3/ABCA12/ICA1/ANO1/EZR",11
"BP","GO:0006887","exocytosis","15/657","357/18800",0.268506334273679,0.808757270743247,0.720522732307761,"RAB25/STXBP6/CHGA/EXPH5/SYTL1/CEACAM1/BAIAP3/ABCA12/TRPV6/RAB3IP/CPLX3/RIMS2/SYN2/TPH1/STXBP2",15
"BP","GO:0006656","phosphatidylcholine biosynthetic process","2/657","29/18800",0.269235973691117,0.808757270743247,0.720522732307761,"SLC44A4/CDS1",2
"BP","GO:0010447","response to acidic pH","2/657","29/18800",0.269235973691117,0.808757270743247,0.720522732307761,"SCNN1A/SCNN1G",2
"BP","GO:0017145","stem cell division","2/657","29/18800",0.269235973691117,0.808757270743247,0.720522732307761,"SOX17/HOXB4",2
"BP","GO:0031571","mitotic G1 DNA damage checkpoint signaling","2/657","29/18800",0.269235973691117,0.808757270743247,0.720522732307761,"MUC1/GTSE1",2
"BP","GO:0048265","response to pain","2/657","29/18800",0.269235973691117,0.808757270743247,0.720522732307761,"SLC6A2/TAC1",2
"BP","GO:0007254","JNK cascade","8/657","175/18800",0.269243386886669,0.808757270743247,0.720522732307761,"FGF19/EDAR/SH3RF2/MECOM/PLCB1/TPD52L1/MAP3K7/AMBP",8
"BP","GO:0009612","response to mechanical stimulus","9/657","201/18800",0.271056175962891,0.808757270743247,0.720522732307761,"SOX9/CXCL10/IHH/SCEL/PPL/F11R/STRBP/SLC2A1/HPN",9
"BP","GO:0030902","hindbrain development","7/657","150/18800",0.271409282251874,0.808757270743247,0.720522732307761,"BMP7/SPTBN2/CTNNA2/CKB/HNF1B/EZH2/HOXB2",7
"BP","GO:0043410","positive regulation of MAPK cascade","20/657","491/18800",0.271883314990046,0.808757270743247,0.720522732307761,"CXCL17/FGFR2/ERBB4/ARHGAP8/TP73/FGF19/EDAR/GCNT2/CCL20/SH3RF2/MAP2K6/FGF8/FGF20/EZH2/DKK1/PLCB1/MST1R/TPD52L1/NPSR1/MAP3K7",20
"BP","GO:0050868","negative regulation of T cell activation","6/657","125/18800",0.272456725617178,0.808757270743247,0.720522732307761,"FOXJ1/IHH/CEACAM1/SCGB1A1/ARG2/IDO1",6
"BP","GO:0002279","mast cell activation involved in immune response","3/657","52/18800",0.273004634319317,0.808757270743247,0.720522732307761,"CHGA/ENPP3/STXBP2",3
"BP","GO:0009395","phospholipid catabolic process","3/657","52/18800",0.273004634319317,0.808757270743247,0.720522732307761,"SMPDL3B/PLA2G4A/PLCB1",3
"BP","GO:0043392","negative regulation of DNA binding","3/657","52/18800",0.273004634319317,0.808757270743247,0.720522732307761,"MSX1/NEK2/MSX2",3
"BP","GO:0070169","positive regulation of biomineral tissue development","3/657","52/18800",0.273004634319317,0.808757270743247,0.720522732307761,"TFAP2A/BMP7/GPM6B",3
"BP","GO:2000677","regulation of transcription regulatory region DNA binding","3/657","52/18800",0.273004634319317,0.808757270743247,0.720522732307761,"MSX1/MSX2/PAX6",3
"BP","GO:0006024","glycosaminoglycan biosynthetic process","4/657","76/18800",0.274671482649051,0.808757270743247,0.720522732307761,"GCNT2/B3GNT3/CHST9/HS3ST6",4
"BP","GO:0071692","protein localization to extracellular region","15/657","359/18800",0.275453873372826,0.808757270743247,0.720522732307761,"TRH/CHGA/FAM3D/EXPH5/KCNN4/UCP2/BAIAP3/ABCA12/ICA1/HNF1B/CPLX3/RIMS2/ANO1/FAM3B/EZR",15
"BP","GO:0070167","regulation of biomineral tissue development","5/657","101/18800",0.278275445648873,0.808757270743247,0.720522732307761,"TFAP2A/NOTUM/SOX9/BMP7/GPM6B",5
"BP","GO:0003231","cardiac ventricle development","6/657","126/18800",0.278453100283263,0.808757270743247,0.720522732307761,"GRHL2/FGFR2/DSP/PAX8/TBX20/LRP2",6
"BP","GO:0007286","spermatid development","8/657","177/18800",0.27927866986744,0.808757270743247,0.720522732307761,"RSPH1/ROPN1L/DEFB1/STRBP/REC8/HOOK1/TRIP13/SPEF2",8
"BP","GO:0048015","phosphatidylinositol-mediated signaling","8/657","177/18800",0.27927866986744,0.808757270743247,0.720522732307761,"ERBB4/CA8/ERBB3/SOX9/CEP55/CEACAM1/PLCB1/EZR",8
"BP","GO:1901605","alpha-amino acid metabolic process","9/657","203/18800",0.28042343621971,0.808757270743247,0.720522732307761,"GAD1/HGD/ASRGL1/PSAT1/ARG2/PRODH/IDO1/RIMKLA/SLC7A11",9
"BP","GO:0007628","adult walking behavior","2/657","30/18800",0.282327424091436,0.808757270743247,0.720522732307761,"ZIC1/TRH",2
"BP","GO:0009310","amine catabolic process","2/657","30/18800",0.282327424091436,0.808757270743247,0.720522732307761,"SAT1/IDO1",2
"BP","GO:0010458","exit from mitosis","2/657","30/18800",0.282327424091436,0.808757270743247,0.720522732307761,"UBE2C/ANLN",2
"BP","GO:0040018","positive regulation of multicellular organism growth","2/657","30/18800",0.282327424091436,0.808757270743247,0.720522732307761,"PLS1/EZR",2
"BP","GO:0044819","mitotic G1/S transition checkpoint signaling","2/657","30/18800",0.282327424091436,0.808757270743247,0.720522732307761,"MUC1/GTSE1",2
"BP","GO:0060142","regulation of syncytium formation by plasma membrane fusion","2/657","30/18800",0.282327424091436,0.808757270743247,0.720522732307761,"SCGB3A1/CXCL10",2
"BP","GO:0070498","interleukin-1-mediated signaling pathway","2/657","30/18800",0.282327424091436,0.808757270743247,0.720522732307761,"PLCB1/MAP3K7",2
"BP","GO:0070979","protein K11-linked ubiquitination","2/657","30/18800",0.282327424091436,0.808757270743247,0.720522732307761,"UBE2C/UBE2T",2
"BP","GO:0140058","neuron projection arborization","2/657","30/18800",0.282327424091436,0.808757270743247,0.720522732307761,"LRP2/PAK6",2
"BP","GO:1900101","regulation of endoplasmic reticulum unfolded protein response","2/657","30/18800",0.282327424091436,0.808757270743247,0.720522732307761,"AGR2/XBP1",2
"BP","GO:1903579","negative regulation of ATP metabolic process","2/657","30/18800",0.282327424091436,0.808757270743247,0.720522732307761,"DNAJC15/MLXIPL",2
"BP","GO:0006919","activation of cysteine-type endopeptidase activity involved in apoptotic process","4/657","77/18800",0.282497612708933,0.808757270743247,0.720522732307761,"EGLN3/S100A8/PMAIP1/S100A9",4
"BP","GO:0055117","regulation of cardiac muscle contraction","4/657","77/18800",0.282497612708933,0.808757270743247,0.720522732307761,"DSP/CHGA/DSC2/PDE4D",4
"BP","GO:0070373","negative regulation of ERK1 and ERK2 cascade","4/657","77/18800",0.282497612708933,0.808757270743247,0.720522732307761,"WNK2/DUSP4/PSCA/EZR",4
"BP","GO:0090559","regulation of membrane permeability","4/657","77/18800",0.282497612708933,0.808757270743247,0.720522732307761,"EYA2/CLDN3/F11R/PMAIP1",4
"BP","GO:0007129","homologous chromosome pairing at meiosis","3/657","53/18800",0.282573394832156,0.808757270743247,0.720522732307761,"REC8/CCNE1/TRIP13",3
"BP","GO:0043090","amino acid import","3/657","53/18800",0.282573394832156,0.808757270743247,0.720522732307761,"SLC6A20/SLC7A11/SLC6A14",3
"BP","GO:0050832","defense response to fungus","3/657","53/18800",0.282573394832156,0.808757270743247,0.720522732307761,"CHGA/S100A8/S100A9",3
"BP","GO:0110151","positive regulation of biomineralization","3/657","53/18800",0.282573394832156,0.808757270743247,0.720522732307761,"TFAP2A/BMP7/GPM6B",3
"BP","GO:0048880","sensory system development","16/657","389/18800",0.28728237258332,0.808757270743247,0.720522732307761,"GRHL2/TFAP2A/AQP5/PROM1/SOX9/FREM2/SLC44A4/BMP7/IHH/ATP2B2/PAX6/FOXN4/RP1/FGF9/SLC7A11/GRHL3",16
"BP","GO:0051147","regulation of muscle cell differentiation","7/657","153/18800",0.287816818855587,0.808757270743247,0.720522732307761,"MSX1/FGFR2/CEACAM5/EZH2/DKK1/FGF9/XBP1",7
"BP","GO:0046883","regulation of hormone secretion","10/657","231/18800",0.289582900125614,0.808757270743247,0.720522732307761,"TRH/PAX8/CHGA/FAM3D/ILDR1/UCP2/BAIAP3/ABCA12/ICA1/ANO1",10
"BP","GO:0009123","nucleoside monophosphate metabolic process","4/657","78/18800",0.290357001655337,0.808757270743247,0.720522732307761,"GDA/TYMS/TK1/ENTPD8",4
"BP","GO:0050714","positive regulation of protein secretion","6/657","128/18800",0.290534332661384,0.808757270743247,0.720522732307761,"TRH/EXPH5/KCNN4/BAIAP3/ANO1/EZR",6
"BP","GO:0010522","regulation of calcium ion transport into cytosol","5/657","103/18800",0.291840533265974,0.808757270743247,0.720522732307761,"CXCL10/CXCL11/PDE4D/NPSR1/ADCYAP1R1",5
"BP","GO:0035335","peptidyl-tyrosine dephosphorylation","5/657","103/18800",0.291840533265974,0.808757270743247,0.720522732307761,"EYA2/EYA1/DUSP4/PTPN3/CDC25C",5
"BP","GO:0110149","regulation of biomineralization","5/657","103/18800",0.291840533265974,0.808757270743247,0.720522732307761,"TFAP2A/NOTUM/SOX9/BMP7/GPM6B",5
"BP","GO:0002823","negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","3/657","54/18800",0.292170498420826,0.808757270743247,0.720522732307761,"FOXJ1/CEACAM1/C4BPA",3
"BP","GO:0045661","regulation of myoblast differentiation","3/657","54/18800",0.292170498420826,0.808757270743247,0.720522732307761,"SOX9/CXCL10/PLCB1",3
"BP","GO:0048599","oocyte development","3/657","54/18800",0.292170498420826,0.808757270743247,0.720522732307761,"YBX2/REC8/TRIP13",3
"BP","GO:0072348","sulfur compound transport","3/657","54/18800",0.292170498420826,0.808757270743247,0.720522732307761,"SLC26A7/SLC44A4/SLC7A11",3
"BP","GO:0097553","calcium ion transmembrane import into cytosol","7/657","154/18800",0.293337672695042,0.808757270743247,0.720522732307761,"CXCL10/TRPV6/CXCL11/CACNA1S/CACNA1E/PDE4D/NPSR1",7
"BP","GO:0002507","tolerance induction","2/657","31/18800",0.295397709984284,0.808757270743247,0.720522732307761,"FOXJ1/IDO1",2
"BP","GO:0006884","cell volume homeostasis","2/657","31/18800",0.295397709984284,0.808757270743247,0.720522732307761,"KCNN4/SLC12A8",2
"BP","GO:0010664","negative regulation of striated muscle cell apoptotic process","2/657","31/18800",0.295397709984284,0.808757270743247,0.720522732307761,"PAX8/BMP7",2
"BP","GO:0014044","Schwann cell development","2/657","31/18800",0.295397709984284,0.808757270743247,0.720522732307761,"NCMAP/ITGB4",2
"BP","GO:0015721","bile acid and bile salt transport","2/657","31/18800",0.295397709984284,0.808757270743247,0.720522732307761,"FGF19/CEACAM1",2
"BP","GO:0021772","olfactory bulb development","2/657","31/18800",0.295397709984284,0.808757270743247,0.720522732307761,"DLX5/ERBB4",2
"BP","GO:0034311","diol metabolic process","2/657","31/18800",0.295397709984284,0.808757270743247,0.720522732307761,"SGPP2/SPTSSB",2
"BP","GO:0034694","response to prostaglandin","2/657","31/18800",0.295397709984284,0.808757270743247,0.720522732307761,"AKR1C2/AKR1C3",2
"BP","GO:0045737","positive regulation of cyclin-dependent protein serine/threonine kinase activity","2/657","31/18800",0.295397709984284,0.808757270743247,0.720522732307761,"CKS2/CCNB1",2
"BP","GO:0046825","regulation of protein export from nucleus","2/657","31/18800",0.295397709984284,0.808757270743247,0.720522732307761,"IFI27/SFN",2
"BP","GO:0048240","sperm capacitation","2/657","31/18800",0.295397709984284,0.808757270743247,0.720522732307761,"ROPN1L/DEFB1",2
"BP","GO:0061099","negative regulation of protein tyrosine kinase activity","2/657","31/18800",0.295397709984284,0.808757270743247,0.720522732307761,"CBLC/PTK6",2
"BP","GO:0061384","heart trabecula morphogenesis","2/657","31/18800",0.295397709984284,0.808757270743247,0.720522732307761,"OVOL2/BMP7",2
"BP","GO:0072525","pyridine-containing compound biosynthetic process","2/657","31/18800",0.295397709984284,0.808757270743247,0.720522732307761,"PSAT1/IDO1",2
"BP","GO:0090659","walking behavior","2/657","31/18800",0.295397709984284,0.808757270743247,0.720522732307761,"ZIC1/TRH",2
"BP","GO:2000648","positive regulation of stem cell proliferation","2/657","31/18800",0.295397709984284,0.808757270743247,0.720522732307761,"EPCAM/CCNE1",2
"BP","GO:2001022","positive regulation of response to DNA damage stimulus","6/657","129/18800",0.296615533521949,0.808757270743247,0.720522732307761,"MSX1/EYA2/EYA1/FOXM1/RBBP8/PMAIP1",6
"BP","GO:0050808","synapse organization","17/657","419/18800",0.298243412818762,0.808757270743247,0.720522732307761,"SIX1/IGSF9/ERBB4/CDH1/KIF1A/SPTBN2/LRRTM1/CTNNA2/CDC20/EPHA7/DKK1/SLC7A11/GPC4/SEMA3E/DOK7/SIX4/NGEF",17
"BP","GO:0006970","response to osmotic stress","4/657","79/18800",0.298245675452339,0.808757270743247,0.720522732307761,"AQP5/MAP7/PAPPA2/SLC2A1",4
"BP","GO:0046323","glucose import","4/657","79/18800",0.298245675452339,0.808757270743247,0.720522732307761,"OCLN/FGF19/SLC5A1/SLC2A1",4
"BP","GO:0048708","astrocyte differentiation","4/657","79/18800",0.298245675452339,0.808757270743247,0.720522732307761,"SOX9/S100A8/PAX6/S100A9",4
"BP","GO:0045732","positive regulation of protein catabolic process","10/657","233/18800",0.298550055353874,0.808757270743247,0.720522732307761,"CDC20B/SOX9/SOX17/SH3RF2/LRP2/CDC20/DTL/C4BPA/EZR/PLK1",10
"BP","GO:0046822","regulation of nucleocytoplasmic transport","5/657","104/18800",0.298666409937474,0.808757270743247,0.720522732307761,"ZIC1/CDH1/CDK1/IFI27/SFN",5
"BP","GO:0000050","urea cycle","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"ARG2",1
"BP","GO:0001915","negative regulation of T cell mediated cytotoxicity","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"CEACAM1",1
"BP","GO:0002423","natural killer cell mediated immune response to tumor cell","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"CEACAM1",1
"BP","GO:0002676","regulation of chronic inflammatory response","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"IDO1",1
"BP","GO:0003129","heart induction","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"DKK1",1
"BP","GO:0003253","cardiac neural crest cell migration involved in outflow tract morphogenesis","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"BMP7",1
"BP","GO:0003418","growth plate cartilage chondrocyte differentiation","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"SOX9",1
"BP","GO:0006560","proline metabolic process","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"PRODH",1
"BP","GO:0006702","androgen biosynthetic process","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"SRD5A3",1
"BP","GO:0007343","egg activation","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"PLCB1",1
"BP","GO:0007440","foregut morphogenesis","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"SOX17",1
"BP","GO:0009128","purine nucleoside monophosphate catabolic process","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"GDA",1
"BP","GO:0009155","purine deoxyribonucleotide catabolic process","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"GDA",1
"BP","GO:0009169","purine ribonucleoside monophosphate catabolic process","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"GDA",1
"BP","GO:0015824","proline transport","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"SLC6A20",1
"BP","GO:0015851","nucleobase transport","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"SLC29A2",1
"BP","GO:0015911","long-chain fatty acid import across plasma membrane","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"SLC2A1",1
"BP","GO:0018401","peptidyl-proline hydroxylation to 4-hydroxy-L-proline","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"EGLN3",1
"BP","GO:0030953","astral microtubule organization","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"EZR",1
"BP","GO:0032060","bleb assembly","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"ANLN",1
"BP","GO:0032754","positive regulation of interleukin-5 production","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"PDE4D",1
"BP","GO:0033007","negative regulation of mast cell activation involved in immune response","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"ENPP3",1
"BP","GO:0033079","immature T cell proliferation","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"IHH",1
"BP","GO:0033089","positive regulation of T cell differentiation in thymus","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"IHH",1
"BP","GO:0033314","mitotic DNA replication checkpoint signaling","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"TICRR",1
"BP","GO:0033504","floor plate development","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"COBL",1
"BP","GO:0035524","proline transmembrane transport","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"SLC6A20",1
"BP","GO:0035768","endothelial cell chemotaxis to fibroblast growth factor","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"CXCL13",1
"BP","GO:0035999","tetrahydrofolate interconversion","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"TYMS",1
"BP","GO:0042045","epithelial fluid transport","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"SLC5A1",1
"BP","GO:0043653","mitochondrial fragmentation involved in apoptotic process","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"ERBB4",1
"BP","GO:0045348","positive regulation of MHC class II biosynthetic process","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"XBP1",1
"BP","GO:0048672","positive regulation of collateral sprouting","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"CRABP2",1
"BP","GO:0051231","spindle elongation","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"KIF4A",1
"BP","GO:0051409","response to nitrosative stress","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"STOX1",1
"BP","GO:0055015","ventricular cardiac muscle cell development","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"CDK1",1
"BP","GO:0060346","bone trabecula formation","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"MSX2",1
"BP","GO:0060536","cartilage morphogenesis","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"MSX1",1
"BP","GO:0060767","epithelial cell proliferation involved in prostate gland development","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"SOX9",1
"BP","GO:0070091","glucagon secretion","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"FAM3D",1
"BP","GO:0070092","regulation of glucagon secretion","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"FAM3D",1
"BP","GO:0071313","cellular response to caffeine","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"CACNA1S",1
"BP","GO:0071421","manganese ion transmembrane transport","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"ATP2C2",1
"BP","GO:0071838","cell proliferation in bone marrow","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"FGFR2",1
"BP","GO:0072124","regulation of glomerular mesangial cell proliferation","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"BMP7",1
"BP","GO:0072203","cell proliferation involved in metanephros development","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"BMP7",1
"BP","GO:0090184","positive regulation of kidney development","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"SOX9",1
"BP","GO:0090557","establishment of endothelial intestinal barrier","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"F11R",1
"BP","GO:0097267","omega-hydroxylase P450 pathway","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"CYP4F11",1
"BP","GO:0098917","retrograde trans-synaptic signaling","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"PLCB1",1
"BP","GO:0099566","regulation of postsynaptic cytosolic calcium ion concentration","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"ATP2B2",1
"BP","GO:0140719","constitutive heterochromatin assembly","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"EZH2",1
"BP","GO:1900003","regulation of serine-type endopeptidase activity","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"SPINK5",1
"BP","GO:1900246","positive regulation of RIG-I signaling pathway","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"TRIM15",1
"BP","GO:1901203","positive regulation of extracellular matrix assembly","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"SOX9",1
"BP","GO:1901731","positive regulation of platelet aggregation","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"F11R",1
"BP","GO:1902571","regulation of serine-type peptidase activity","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"SPINK5",1
"BP","GO:1902946","protein localization to early endosome","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"EZR",1
"BP","GO:1903027","regulation of opsonization","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"C4BPA",1
"BP","GO:1905165","regulation of lysosomal protein catabolic process","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"LRP2",1
"BP","GO:1905941","positive regulation of gonad development","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"SOX9",1
"BP","GO:2000018","regulation of male gonad development","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"SOX9",1
"BP","GO:2000048","negative regulation of cell-cell adhesion mediated by cadherin","1/657","10/18800",0.299392380520082,0.808757270743247,0.720522732307761,"EPCAM",1
